Acceleration,Sprint Speed,Agility,Balance,Jumping,Stamina,Strength,Position,Preferred foot,Height,Weight,Alternative positions,Age
72,69,70,70,71,71,62,CM,Right,"178cm / 5'10""",74kg / 163lb,"RW, CDM",25
48,43,39,43,71,38,79,GK,Right,"191cm / 6'3""",88kg / 194lb,,31
66,66,62,78,62,73,61,CM,Right,"173cm / 5'8""",68kg / 150lb,CDM,23
35,28,44,44,54,16,55,GK,Right,"184cm / 6'0""",77kg / 170lb,,19
53,55,45,63,68,63,72,CB,Right,"188cm / 6'2""",78kg / 172lb,,24
75,80,61,72,69,80,60,RB,Right,"174cm / 5'9""",71kg / 157lb,,24
77,70,69,79,62,53,57,RM,Left,"178cm / 5'10""",65kg / 143lb,"CAM, RW",19
72,67,58,57,70,61,67,RB,Right,"185cm / 6'1""",76kg / 168lb,RM,21
63,57,60,64,72,62,73,CB,Right,"187cm / 6'2""",68kg / 150lb,CDM,22
60,65,65,72,68,80,77,CDM,Right,"175cm / 5'9""",72kg / 159lb,CM,27
71,61,74,68,63,57,59,RB,Right,"178cm / 5'10""",75kg / 165lb,,41
64,67,52,58,74,68,74,CB,Right,"190cm / 6'3""",84kg / 185lb,,21
43,42,30,56,59,37,58,GK,Right,"191cm / 6'3""",81kg / 179lb,,34
65,62,45,34,81,66,90,CB,Right,"191cm / 6'3""",93kg / 205lb,,27
63,59,56,67,58,53,52,CM,Right,"178cm / 5'10""",64kg / 141lb,,20
70,63,35,46,80,73,84,CB,Right,"190cm / 6'3""",77kg / 170lb,RB,25
63,65,69,74,63,69,66,CDM,Right,"172cm / 5'8""",63kg / 139lb,CM,24
48,51,50,46,69,68,74,CB,Left,"190cm / 6'3""",80kg / 176lb,,26
56,58,57,69,72,61,77,LB,Left,"178cm / 5'10""",75kg / 165lb,CB,22
67,71,72,60,64,69,59,ST,Right,"171cm / 5'7""",74kg / 163lb,,34
60,62,45,58,67,65,63,CB,Right,"180cm / 5'11""",73kg / 161lb,,24
70,68,54,60,78,54,77,ST,Right,"192cm / 6'4""",79kg / 174lb,,19
90,91,78,76,77,82,81,RW,Left,"175cm / 5'9""",71kg / 157lb,"LM, LB, RM",21
66,75,69,67,57,71,59,RB,Right,"179cm / 5'10""",72kg / 159lb,,23
70,75,64,63,86,73,83,ST,Left,"192cm / 6'4""",87kg / 192lb,,21
71,64,73,80,56,75,52,CM,Right,"178cm / 5'10""",68kg / 150lb,,22
70,60,61,63,74,67,71,CB,Right,"188cm / 6'2""",70kg / 154lb,,26
47,39,52,53,70,70,79,CB,Right,"188cm / 6'2""",76kg / 168lb,RB,32
74,73,74,77,60,62,54,LB,Left,"174cm / 5'9""",71kg / 157lb,,24
71,79,68,68,72,68,65,CB,Left,"186cm / 6'1""",68kg / 150lb,,23
66,67,57,61,73,84,71,CB,Right,"182cm / 6'0""",78kg / 172lb,RB,22
90,87,85,82,57,66,47,RM,Left,"175cm / 5'9""",72kg / 159lb,"LM, RW",21
82,83,79,73,67,66,57,LB,Left,"176cm / 5'9""",69kg / 152lb,LM,20
59,54,52,64,74,68,76,CB,Right,"180cm / 5'11""",73kg / 161lb,,23
67,57,76,74,63,59,65,CM,Left,"178cm / 5'10""",64kg / 141lb,LM,30
70,66,70,73,57,63,52,CAM,Right,"180cm / 5'11""",74kg / 163lb,CM,20
66,55,67,76,63,59,64,RB,Right,"174cm / 5'9""",72kg / 159lb,RM,34
69,68,75,73,51,62,58,CAM,Right,"184cm / 6'0""",79kg / 174lb,CM,27
58,62,61,47,82,64,78,CDM,Right,"185cm / 6'1""",83kg / 183lb,"CM, CB",26
72,70,72,70,61,70,60,CM,Right,"180cm / 5'11""",78kg / 172lb,"RB, CAM",28
74,75,64,50,80,71,77,CB,Left,"187cm / 6'2""",74kg / 163lb,,24
28,32,32,25,53,21,59,GK,Right,"195cm / 6'5""",80kg / 176lb,,23
70,64,64,63,57,51,53,LB,Left,"178cm / 5'10""",71kg / 157lb,,22
75,69,81,84,58,73,53,CAM,Right,"175cm / 5'9""",67kg / 148lb,"CM, RB",23
48,44,33,56,71,27,80,GK,Right,"180cm / 5'11""",75kg / 165lb,,29
74,82,75,72,56,79,57,RB,Right,"175cm / 5'9""",71kg / 157lb,"LB, RM",28
82,76,84,87,71,60,56,RM,Left,"165cm / 5'5""",64kg / 141lb,"LM, LB, RW",23
55,54,54,56,66,59,64,CB,Right,"182cm / 6'0""",78kg / 172lb,,26
74,72,75,74,67,72,64,CAM,Right,"188cm / 6'2""",68kg / 150lb,CM,22
68,66,67,65,66,65,63,LB,Left,"179cm / 5'10""",73kg / 161lb,,31
59,61,56,70,49,59,51,RM,Right,"180cm / 5'11""",75kg / 165lb,"LM, RW",22
25,32,35,21,61,18,77,GK,Right,"198cm / 6'6""",91kg / 201lb,,24
71,67,64,71,54,63,55,CAM,Left,"176cm / 5'9""",69kg / 152lb,RW,26
76,79,81,80,68,76,63,RB,Right,"175cm / 5'9""",72kg / 159lb,,27
64,64,66,59,51,63,57,CM,Right,"180cm / 5'11""",66kg / 146lb,,22
84,86,80,73,63,71,49,LB,Left,"180cm / 5'11""",73kg / 161lb,LM,20
82,80,85,81,55,60,50,LM,Right,"181cm / 5'11""",66kg / 146lb,"CAM, LW",18
76,79,82,78,56,75,54,CM,Right,"177cm / 5'10""",73kg / 161lb,RM,34
83,81,80,74,78,77,76,LB,Left,"183cm / 6'0""",73kg / 161lb,,27
65,67,60,75,70,70,67,CB,Right,"179cm / 5'10""",71kg / 157lb,CDM,33
87,81,83,80,57,76,53,LM,Right,"171cm / 5'7""",63kg / 139lb,"CM, RM, LW",24
35,36,36,29,54,25,57,GK,Right,"193cm / 6'4""",73kg / 161lb,,24
48,44,44,64,64,64,67,CB,Right,"184cm / 6'0""",75kg / 165lb,CDM,29
65,76,56,53,59,58,62,LB,Left,"174cm / 5'9""",72kg / 159lb,CB,27
49,66,39,44,70,69,82,CB,Right,"190cm / 6'3""",80kg / 176lb,RB,22
53,55,58,58,73,66,81,CB,Right,"188cm / 6'2""",82kg / 181lb,,31
65,62,56,64,70,63,62,CB,Right,"183cm / 6'0""",75kg / 165lb,,22
64,61,54,51,70,60,73,CB,Right,"189cm / 6'2""",86kg / 190lb,RB,21
75,75,74,76,61,68,69,LB,Right,"178cm / 5'10""",77kg / 170lb,RB,27
50,64,63,72,69,70,63,CM,Right,"180cm / 5'11""",72kg / 159lb,CDM,34
76,72,74,69,73,66,62,ST,Right,"178cm / 5'10""",73kg / 161lb,LM,21
80,81,70,68,88,80,76,CB,Right,"180cm / 5'11""",79kg / 174lb,RB,24
36,54,32,49,66,76,79,CB,Right,"183cm / 6'0""",83kg / 183lb,,30
60,55,52,50,67,61,63,CB,Right,"185cm / 6'1""",79kg / 174lb,CDM,27
68,70,73,74,52,61,57,CAM,Left,"176cm / 5'9""",73kg / 161lb,,24
68,79,59,51,77,56,80,RB,Right,"190cm / 6'3""",76kg / 168lb,RM,24
75,70,68,74,71,68,77,CM,Left,"182cm / 6'0""",78kg / 172lb,CAM,25
59,59,51,49,57,70,72,CDM,Right,"190cm / 6'3""",85kg / 187lb,,28
75,75,78,72,49,58,54,RM,Right,"182cm / 6'0""",76kg / 168lb,"LM, CAM, RW",25
63,64,64,79,49,60,46,CM,Right,"167cm / 5'6""",62kg / 137lb,,21
60,61,45,67,68,62,65,CB,Left,"179cm / 5'10""",72kg / 159lb,LB,25
81,77,91,89,74,72,55,CM,Right,"170cm / 5'7""",71kg / 157lb,LM,33
73,67,64,67,81,67,80,ST,Right,"191cm / 6'3""",79kg / 174lb,,22
72,74,59,56,71,59,68,RB,Right,"185cm / 6'1""",78kg / 172lb,CB,20
68,59,57,77,60,57,55,LB,Left,"174cm / 5'9""",70kg / 154lb,,30
43,43,38,63,71,73,81,CB,Right,"183cm / 6'0""",77kg / 170lb,,28
55,55,52,48,78,66,88,ST,Right,"189cm / 6'2""",81kg / 179lb,,31
64,57,52,40,77,73,79,ST,Left,"194cm / 6'4""",85kg / 187lb,,30
76,57,68,72,81,84,81,RB,Right,"176cm / 5'9""",79kg / 174lb,,33
69,64,77,74,69,71,69,LB,Left,"184cm / 6'0""",76kg / 168lb,LM,29
54,53,49,43,76,65,82,CB,Left,"193cm / 6'4""",81kg / 179lb,,27
82,80,86,85,59,81,56,LB,Left,"175cm / 5'9""",71kg / 157lb,LM,24
62,69,68,66,69,71,71,CB,Left,"185cm / 6'1""",76kg / 168lb,,28
26,35,37,49,55,21,63,GK,Right,"198cm / 6'6""",87kg / 192lb,,23
65,62,66,68,70,65,68,ST,Right,"180cm / 5'11""",70kg / 154lb,,33
50,52,61,63,71,71,80,CB,Right,"189cm / 6'2""",81kg / 179lb,,23
52,59,49,57,68,63,73,CB,Left,"184cm / 6'0""",81kg / 179lb,,25
69,66,65,67,64,54,58,ST,Left,"180cm / 5'11""",73kg / 161lb,,20
58,64,49,54,80,62,73,CB,Right,"188cm / 6'2""",74kg / 163lb,RB,22
37,42,50,42,70,53,81,ST,Left,"189cm / 6'2""",80kg / 176lb,,26
68,68,63,70,52,72,55,RM,Right,"175cm / 5'9""",78kg / 172lb,"CM, LM, RW",32
66,67,63,76,71,80,65,CDM,Right,"183cm / 6'0""",78kg / 172lb,,26
70,72,74,68,66,64,60,RB,Right,"180cm / 5'11""",68kg / 150lb,RM,22
51,53,48,62,72,73,80,CB,Right,"188cm / 6'2""",80kg / 176lb,,33
66,56,63,32,76,48,76,CB,Left,"188cm / 6'2""",74kg / 163lb,,24
53,53,44,34,68,58,73,CB,Right,"193cm / 6'4""",90kg / 198lb,,26
80,80,67,62,77,61,71,LB,Left,"184cm / 6'0""",84kg / 185lb,LM,28
66,66,77,71,63,88,65,CDM,Right,"178cm / 5'10""",64kg / 141lb,CM,27
37,25,40,21,56,25,59,GK,Right,"193cm / 6'4""",85kg / 187lb,,28
90,89,74,60,79,69,74,CB,Right,"187cm / 6'2""",77kg / 170lb,LB,28
53,54,37,40,76,78,90,CB,Left,"195cm / 6'5""",85kg / 187lb,,25
88,92,82,90,78,77,72,LB,Left,"176cm / 5'9""",70kg / 154lb,RB,23
88,86,83,73,77,57,64,ST,Left,"183cm / 6'0""",68kg / 150lb,,27
71,69,64,64,81,71,81,CB,Left,"185cm / 6'1""",84kg / 185lb,,25
75,75,72,72,76,86,59,LB,Left,"181cm / 5'11""",73kg / 161lb,CB,26
79,77,90,74,51,32,42,RM,Left,"177cm / 5'10""",80kg / 176lb,"RW, CAM",22
60,60,62,72,57,72,50,RM,Right,"176cm / 5'9""",72kg / 159lb,"LM, ST, RW",20
29,27,24,30,54,25,60,GK,Right,"192cm / 6'4""",82kg / 181lb,,23
90,91,78,80,66,64,62,LB,Left,"173cm / 5'8""",70kg / 154lb,,23
64,64,58,55,80,63,84,CB,Right,"185cm / 6'1""",79kg / 174lb,,27
38,40,36,35,62,32,68,GK,Right,"196cm / 6'5""",93kg / 205lb,,23
75,71,80,84,66,65,63,RW,Right,"181cm / 5'11""",75kg / 165lb,"LW, CAM, RM",23
33,38,36,31,55,40,57,GK,Right,"193cm / 6'4""",76kg / 168lb,,22
70,70,73,77,52,62,56,CAM,Right,"173cm / 5'8""",61kg / 134lb,"CM, LM",22
31,24,63,32,49,25,50,GK,Right,"188cm / 6'2""",70kg / 154lb,,24
76,71,71,72,76,78,70,ST,Right,"178cm / 5'10""",70kg / 154lb,CAM,26
34,50,43,36,68,65,82,CB,Right,"191cm / 6'3""",79kg / 174lb,,30
81,82,59,43,94,63,84,CB,Left,"193cm / 6'4""",87kg / 192lb,ST,23
78,72,64,66,68,66,61,RB,Right,"174cm / 5'9""",75kg / 165lb,CM,19
81,82,75,82,71,71,65,RB,Right,"170cm / 5'7""",70kg / 154lb,RM,26
71,71,70,60,67,59,60,RM,Right,"180cm / 5'11""",80kg / 176lb,RW,28
71,72,66,64,62,89,61,CM,Right,"184cm / 6'0""",76kg / 168lb,,28
78,76,78,82,68,34,55,ST,Left,"175cm / 5'9""",71kg / 157lb,,19
37,44,54,41,62,37,63,GK,Right,"185cm / 6'1""",73kg / 161lb,,37
30,21,28,42,43,27,44,GK,Right,"193cm / 6'4""",76kg / 168lb,,22
56,50,65,64,71,69,75,CB,Right,"185cm / 6'1""",77kg / 170lb,,29
54,49,51,56,72,67,76,ST,Right,"180cm / 5'11""",84kg / 185lb,,33
70,62,73,79,55,64,54,CDM,Right,"177cm / 5'10""",76kg / 168lb,"CAM, CM",22
54,55,66,67,59,71,68,CM,Left,"184cm / 6'0""",74kg / 163lb,,21
67,68,81,82,49,71,45,CM,Right,"173cm / 5'8""",74kg / 163lb,CDM,27
76,77,75,66,77,52,73,ST,Right,"186cm / 6'1""",77kg / 170lb,,23
76,72,79,74,72,69,64,CM,Right,"184cm / 6'0""",76kg / 168lb,CDM,19
82,75,80,83,64,63,56,CM,Right,"176cm / 5'9""",66kg / 146lb,CDM,21
52,43,59,33,64,26,66,GK,Right,"189cm / 6'2""",77kg / 170lb,,25
69,65,53,61,62,63,56,LB,Left,"182cm / 6'0""",75kg / 165lb,CB,21
75,78,76,69,55,71,56,LW,Right,"183cm / 6'0""",76kg / 168lb,"RW, CAM, LM",26
70,70,57,63,50,61,50,RW,Right,"175cm / 5'9""",68kg / 150lb,"RM, RB",21
73,73,81,70,70,47,58,ST,Right,"180cm / 5'11""",69kg / 152lb,,21
74,71,72,75,60,81,65,CM,Right,"185cm / 6'1""",78kg / 172lb,"LM, LW",24
65,62,65,60,66,43,66,ST,Left,"186cm / 6'1""",80kg / 176lb,,30
68,66,63,68,63,71,58,CDM,Right,"175cm / 5'9""",69kg / 152lb,CM,23
60,64,58,53,72,61,73,ST,Right,"187cm / 6'2""",82kg / 181lb,,29
88,85,83,80,81,58,85,ST,Right,"168cm / 5'6""",79kg / 174lb,CAM,21
68,64,73,76,44,67,35,CM,Right,"175cm / 5'9""",68kg / 150lb,CAM,20
62,53,57,55,77,81,82,CB,Right,"178cm / 5'10""",78kg / 172lb,RB,33
70,71,67,73,68,67,66,RB,Right,"179cm / 5'10""",72kg / 159lb,RM,27
74,71,62,42,85,71,72,CB,Left,"184cm / 6'0""",70kg / 154lb,LB,28
66,68,55,70,80,82,84,ST,Right,"180cm / 5'11""",75kg / 165lb,,30
79,75,86,82,57,36,58,CAM,Right,"175cm / 5'9""",68kg / 150lb,RM,22
77,75,59,59,66,73,71,RB,Right,"183cm / 6'0""",77kg / 170lb,,34
36,51,42,52,65,61,74,CB,Left,"191cm / 6'3""",83kg / 183lb,,23
69,67,70,65,63,76,72,CDM,Right,"185cm / 6'1""",80kg / 176lb,CM,22
45,67,48,48,67,57,71,CB,Right,"190cm / 6'3""",75kg / 165lb,,22
63,63,64,59,72,67,74,LM,Left,"184cm / 6'0""",77kg / 170lb,"LB, LW",29
80,82,86,81,81,60,74,ST,Right,"182cm / 6'0""",70kg / 154lb,,21
55,64,52,68,49,59,58,CM,Right,"177cm / 5'10""",74kg / 163lb,CDM,20
49,50,37,57,67,27,71,GK,Right,"187cm / 6'2""",81kg / 179lb,,33
77,71,80,75,67,77,65,LM,Right,"177cm / 5'10""",70kg / 154lb,"RM, CAM, LW",22
52,48,62,62,63,75,70,CDM,Right,"185cm / 6'1""",73kg / 161lb,"CM, CB",31
74,77,82,81,44,58,41,LW,Right,"173cm / 5'8""",64kg / 141lb,LM,23
51,50,49,55,74,67,85,CB,Right,"185cm / 6'1""",84kg / 185lb,,30
74,73,74,73,75,73,74,LB,Right,"179cm / 5'10""",70kg / 154lb,LM,32
59,47,47,58,77,56,74,ST,Right,"188cm / 6'2""",81kg / 179lb,"LM, LW",33
15,26,32,38,48,23,56,GK,Right,"186cm / 6'1""",80kg / 176lb,,23
69,68,58,37,87,69,86,ST,Left,"195cm / 6'5""",88kg / 194lb,,27
28,26,26,33,61,44,75,GK,Left,"186cm / 6'1""",90kg / 198lb,,21
75,71,70,62,75,74,71,RB,Right,"188cm / 6'2""",71kg / 157lb,,27
80,81,72,73,66,70,64,RB,Right,"185cm / 6'1""",76kg / 168lb,,20
32,36,48,42,49,27,51,GK,Right,"188cm / 6'2""",91kg / 201lb,,35
80,72,81,70,72,60,70,ST,Right,"184cm / 6'0""",83kg / 183lb,"RM, LM",25
80,80,73,65,73,76,63,RW,Right,"184cm / 6'0""",75kg / 165lb,"RM, RB",30
74,73,81,80,65,78,59,CM,Right,"178cm / 5'10""",74kg / 163lb,,22
74,72,76,59,69,70,73,LB,Left,"178cm / 5'10""",75kg / 165lb,,31
68,71,65,66,56,57,57,LM,Left,"171cm / 5'7""",63kg / 139lb,LW,24
76,75,70,66,73,69,64,ST,Right,"185cm / 6'1""",75kg / 165lb,LM,23
21,25,31,21,59,18,75,GK,Right,"195cm / 6'5""",82kg / 181lb,,22
77,77,74,65,75,32,65,ST,Left,"178cm / 5'10""",70kg / 154lb,LW,26
80,84,82,74,58,51,57,RM,Right,"182cm / 6'0""",70kg / 154lb,"LM, RB, RW",29
75,64,68,56,44,49,42,CAM,Right,"181cm / 5'11""",73kg / 161lb,,26
50,42,38,45,73,70,81,CB,Right,"188cm / 6'2""",86kg / 190lb,,33
77,75,74,64,75,62,67,LW,Right,"184cm / 6'0""",77kg / 170lb,"RW, LM",26
30,44,38,58,50,34,54,GK,Right,"191cm / 6'3""",81kg / 179lb,,33
78,77,64,78,62,55,48,RM,Left,"175cm / 5'9""",68kg / 150lb,"RW, LM",22
81,79,83,64,63,64,61,RM,Left,"178cm / 5'10""",76kg / 168lb,RW,21
68,59,67,68,64,66,59,CDM,Right,"180cm / 5'11""",75kg / 165lb,CM,19
79,74,75,82,75,55,70,ST,Right,"169cm / 5'7""",71kg / 157lb,,29
54,67,53,57,64,62,77,CB,Left,"190cm / 6'3""",80kg / 176lb,,26
63,66,63,59,69,58,66,CM,Right,"187cm / 6'2""",79kg / 174lb,CAM,29
76,71,76,71,66,76,59,CM,Right,"180cm / 5'11""",73kg / 161lb,CDM,28
69,71,65,61,71,69,71,RB,Right,"184cm / 6'0""",81kg / 179lb,"CB, CDM",20
69,64,82,79,61,56,59,RW,Right,"172cm / 5'8""",71kg / 157lb,"ST, CAM, RM",22
74,66,76,75,66,73,57,CM,Right,"178cm / 5'10""",73kg / 161lb,CDM,21
75,66,65,69,70,67,63,CM,Right,"179cm / 5'10""",76kg / 168lb,CDM,27
67,66,61,69,67,80,69,CDM,Right,"178cm / 5'10""",75kg / 165lb,CM,23
25,24,34,25,51,16,58,GK,Right,"190cm / 6'3""",88kg / 194lb,,24
49,41,46,50,64,25,62,GK,Right,"192cm / 6'4""",79kg / 174lb,,26
75,77,79,78,59,68,64,RW,Right,"183cm / 6'0""",70kg / 154lb,"ST, RM",20
88,87,62,64,81,63,71,LM,Right,"185cm / 6'1""",79kg / 174lb,"LW, ST",24
63,64,56,50,79,56,84,CB,Right,"188cm / 6'2""",86kg / 190lb,,26
66,65,77,67,55,79,56,LW,Right,"173cm / 5'8""",70kg / 154lb,"LM, CM",27
49,54,38,59,67,69,73,CB,Right,"184cm / 6'0""",76kg / 168lb,,28
66,49,63,69,68,79,73,CDM,Right,"182cm / 6'0""",65kg / 143lb,CM,32
80,81,79,77,60,83,52,RB,Right,"177cm / 5'10""",63kg / 139lb,LB,26
70,67,65,76,60,77,62,RB,Right,"175cm / 5'9""",71kg / 157lb,"LB, CB",27
40,44,39,57,66,32,73,GK,Right,"194cm / 6'4""",80kg / 176lb,,29
76,74,78,69,53,65,53,LM,Right,"174cm / 5'9""",70kg / 154lb,"RM, LW",26
52,60,53,66,74,67,84,ST,Left,"185cm / 6'1""",90kg / 198lb,,33
42,40,35,55,62,30,68,GK,Right,"192cm / 6'4""",86kg / 190lb,,30
80,81,84,85,72,63,61,ST,Right,"170cm / 5'7""",65kg / 143lb,,23
74,73,81,74,58,62,62,LW,Left,"176cm / 5'9""",78kg / 172lb,"CM, LM",22
29,29,35,39,54,45,59,GK,Right,"194cm / 6'4""",84kg / 185lb,,27
68,74,63,69,70,61,66,CB,Right,"178cm / 5'10""",73kg / 161lb,,23
32,33,25,25,61,33,67,GK,Right,"190cm / 6'3""",84kg / 185lb,,22
66,57,74,81,57,51,58,CAM,Right,"179cm / 5'10""",84kg / 185lb,,30
64,68,67,70,67,82,73,CM,Right,"180cm / 5'11""",75kg / 165lb,CDM,23
70,59,55,74,46,56,39,CAM,Left,"176cm / 5'9""",69kg / 152lb,"CM, LW",26
45,35,50,41,50,22,45,GK,Right,"193cm / 6'4""",86kg / 190lb,,23
82,78,73,77,70,77,69,LM,Left,"181cm / 5'11""",77kg / 170lb,"LB, LW",24
64,68,60,56,58,72,64,LB,Left,"178cm / 5'10""",69kg / 152lb,,24
63,59,59,69,75,71,79,CB,Right,"190cm / 6'3""",82kg / 181lb,,30
63,67,71,71,49,56,49,CAM,Right,"183cm / 6'0""",77kg / 170lb,CM,19
79,75,76,70,71,74,68,LB,Left,"187cm / 6'2""",76kg / 168lb,CB,26
73,62,74,71,70,74,66,CM,Right,"176cm / 5'9""",72kg / 159lb,"LB, CDM",28
68,65,63,64,79,65,79,CB,Right,"182cm / 6'0""",75kg / 165lb,RB,32
67,62,63,67,63,71,63,CM,Right,"187cm / 6'2""",70kg / 154lb,,24
23,33,37,35,53,18,64,GK,Right,"191cm / 6'3""",73kg / 161lb,,32
41,40,45,48,61,25,67,GK,Right,"183cm / 6'0""",80kg / 176lb,,27
69,64,67,59,68,70,60,RB,Right,"178cm / 5'10""",73kg / 161lb,,29
66,70,63,62,71,60,68,ST,Right,"185cm / 6'1""",75kg / 165lb,,17
67,69,51,58,81,70,87,CB,Left,"182cm / 6'0""",82kg / 181lb,,30
67,63,59,69,63,62,58,RB,Right,"178cm / 5'10""",68kg / 150lb,,19
73,73,69,66,74,69,72,ST,Right,"186cm / 6'1""",80kg / 176lb,,25
62,62,67,70,66,77,69,CM,Right,"184cm / 6'0""",76kg / 168lb,,23
83,78,90,86,58,82,57,LW,Right,"170cm / 5'7""",70kg / 154lb,"RW, CAM, LM",27
69,69,71,63,62,70,69,LM,Left,"179cm / 5'10""",72kg / 159lb,"CM, RM, LW",22
72,73,70,67,54,65,58,LM,Right,"175cm / 5'9""",73kg / 161lb,"CAM, ST, LW",22
51,65,52,44,73,67,79,ST,Right,"191cm / 6'3""",81kg / 179lb,,23
93,84,77,73,56,50,38,LW,Right,"175cm / 5'9""",68kg / 150lb,LM,19
29,31,39,36,53,20,58,GK,Right,"195cm / 6'5""",90kg / 198lb,,30
34,35,26,40,62,15,69,GK,Right,"195cm / 6'5""",96kg / 212lb,,30
79,79,86,85,56,71,55,RM,Right,"175cm / 5'9""",68kg / 150lb,"CM, RW",23
69,69,74,66,75,75,74,ST,Right,"183cm / 6'0""",85kg / 187lb,,28
81,79,83,86,48,45,43,CM,Left,"185cm / 6'1""",75kg / 165lb,"CDM, CB",24
66,68,63,61,69,64,67,CB,Left,"183cm / 6'0""",76kg / 168lb,CDM,20
29,20,21,23,60,19,72,GK,Right,"201cm / 6'7""",85kg / 187lb,,32
66,80,59,65,79,74,82,ST,Right,"188cm / 6'2""",92kg / 203lb,,24
72,75,78,62,59,57,39,CM,Right,"168cm / 5'6""",65kg / 143lb,,18
68,72,56,56,77,70,78,RB,Right,"188cm / 6'2""",82kg / 181lb,CB,22
76,80,69,56,82,72,77,CB,Right,"190cm / 6'3""",84kg / 185lb,,23
50,54,54,51,77,76,88,CB,Right,"196cm / 6'5""",85kg / 187lb,,27
37,40,39,50,63,28,72,GK,Right,"193cm / 6'4""",88kg / 194lb,,30
69,74,67,68,58,60,58,RM,Left,"182cm / 6'0""",76kg / 168lb,RW,31
70,69,74,66,58,36,49,CM,Right,"183cm / 6'0""",74kg / 163lb,CAM,22
55,52,69,62,64,35,61,GK,Right,"185cm / 6'1""",75kg / 165lb,,33
65,58,61,62,68,76,80,CDM,Right,"181cm / 5'11""",76kg / 168lb,"CM, CB",26
68,63,74,88,59,78,62,CM,Right,"173cm / 5'8""",66kg / 146lb,"CDM, RM",27
69,72,68,65,71,83,70,CAM,Right,"185cm / 6'1""",75kg / 165lb,"CDM, ST",24
34,29,34,55,64,79,75,CB,Right,"186cm / 6'1""",78kg / 172lb,,34
90,90,78,73,77,69,65,ST,Right,"182cm / 6'0""",75kg / 165lb,RW,25
78,77,80,84,58,49,59,LM,Right,"172cm / 5'8""",78kg / 172lb,LW,19
26,29,28,46,55,23,63,GK,Right,"187cm / 6'2""",78kg / 172lb,,23
68,64,65,50,75,66,74,ST,Right,"186cm / 6'1""",82kg / 181lb,,34
68,67,70,55,50,70,54,CM,Left,"175cm / 5'9""",71kg / 157lb,,20
59,52,60,75,78,77,84,CB,Left,"188cm / 6'2""",88kg / 194lb,LB,30
62,70,67,74,66,84,69,CDM,Right,"183cm / 6'0""",71kg / 157lb,"CM, LM",35
63,65,75,59,70,81,72,CB,Right,"185cm / 6'1""",74kg / 163lb,,30
67,65,64,70,59,71,60,CM,Right,"170cm / 5'7""",68kg / 150lb,RM,24
79,80,73,72,64,69,58,RB,Right,"180cm / 5'11""",70kg / 154lb,LM,29
70,72,65,72,63,67,55,RW,Right,"182cm / 6'0""",71kg / 157lb,"CAM, RB, RM",25
79,77,85,87,64,81,49,CM,Right,"175cm / 5'9""",63kg / 139lb,CDM,27
80,79,85,68,60,76,59,RM,Left,"180cm / 5'11""",71kg / 157lb,"CM, LM, RW",29
54,67,53,80,76,71,82,CB,Right,"187cm / 6'2""",87kg / 192lb,,29
73,65,62,61,77,60,75,CB,Right,"185cm / 6'1""",81kg / 179lb,CDM,24
83,84,78,71,65,65,52,RW,Right,"170cm / 5'7""",69kg / 152lb,"ST, LW, RM",18
62,65,65,64,68,63,65,CDM,Right,"183cm / 6'0""",75kg / 165lb,CB,28
59,49,65,71,65,55,66,RB,Right,"180cm / 5'11""",76kg / 168lb,"LB, CB",38
65,69,61,64,64,68,67,LM,Right,"183cm / 6'0""",76kg / 168lb,"RM, LW",23
71,68,64,73,63,56,49,CM,Right,"176cm / 5'9""",68kg / 150lb,CAM,21
65,73,74,83,59,70,62,CDM,Right,"175cm / 5'9""",75kg / 165lb,CM,23
82,81,77,68,68,76,64,LB,Left,"183cm / 6'0""",78kg / 172lb,,20
69,62,59,77,64,70,64,RB,Right,"173cm / 5'8""",72kg / 159lb,,26
68,71,57,84,48,62,42,RM,Right,"168cm / 5'6""",66kg / 146lb,"CAM, CM, RW",21
54,56,55,53,72,65,76,CB,Right,"185cm / 6'1""",75kg / 165lb,,21
70,71,53,66,77,77,80,RB,Right,"183cm / 6'0""",80kg / 176lb,,21
64,67,58,57,72,62,76,RW,Left,"190cm / 6'3""",78kg / 172lb,RM,29
42,40,64,50,62,39,65,GK,Right,"188cm / 6'2""",85kg / 187lb,,31
38,49,44,58,59,41,66,GK,Right,"190cm / 6'3""",88kg / 194lb,,24
75,75,69,76,63,80,61,CDM,Right,"172cm / 5'8""",71kg / 157lb,CM,34
68,67,58,67,70,53,63,ST,Left,"180cm / 5'11""",73kg / 161lb,,26
52,41,40,46,73,61,77,CB,Left,"190cm / 6'3""",84kg / 185lb,,24
79,74,82,81,63,55,56,LM,Left,"175cm / 5'9""",70kg / 154lb,"RM, LW",34
78,79,83,84,80,83,77,CAM,Right,"171cm / 5'7""",74kg / 163lb,CM,26
49,48,58,41,80,69,86,ST,Right,"188cm / 6'2""",92kg / 203lb,,34
52,53,44,45,71,59,78,CB,Right,"191cm / 6'3""",83kg / 183lb,,27
57,62,66,63,63,77,63,LM,Right,"180cm / 5'11""",75kg / 165lb,LW,28
35,31,41,29,65,26,77,GK,Right,"194cm / 6'4""",99kg / 218lb,,24
65,66,64,65,79,71,73,CB,Right,"185cm / 6'1""",80kg / 176lb,,24
75,74,91,72,63,60,57,LW,Right,"176cm / 5'9""",60kg / 132lb,"CAM, LM",32
